lat,lon,year,month,day,hour,avg_volume
40.619844,-74.015076,2024,03,1,0,3695.511475
40.619844,-74.015076,2024,04,1,0,1170.327881
40.619844,-74.015076,2025,05,1,0,5246.038574
40.620579,-74.012521,2024,06,1,0,1262.844849
40.620579,-74.012521,2024,07,1,0,97.980164
40.620579,-74.012521,2024,08,1,0,8051.408691
40.620579,-74.012521,2024,09,1,0,1279.034546
40.620579,-74.012521,2024,10,1,0,13.790763
40.620579,-74.012521,2024,11,1,0,6548.015625
40.620579,-74.012521,2024,12,1,0,953.182007
40.620579,-74.012521,2025,01,1,0,0.000000
40.620579,-74.012521,2024,02,1,0,4094.764648
40.620579,-74.012521,2024,03,1,0,4028.142090
40.620579,-74.012521,2024,04,1,0,1638.515625
40.620579,-74.012521,2025,05,1,0,5650.458008
40.882540,-73.887019,2024,06,1,0,1212.790039
40.882540,-73.887019,2024,07,1,0,33.201782
40.882540,-73.887019,2024,08,1,0,8024.847168
40.882540,-73.887019,2024,09,1,0,1248.770874
40.882540,-73.887019,2024,10,1,0,0.000000
40.882540,-73.887019,2024,11,1,0,6531.821777
40.882540,-73.887019,2024,12,1,0,937.562439
40.882540,-73.887019,2025,01,1,0,0.000000
40.882540,-73.887019,2024,02,1,0,4078.157959
40.882540,-73.887019,2024,03,1,0,4044.477295
40.882540,-73.887019,2024,04,1,0,1658.287354
40.882540,-73.887019,2025,05,1,0,5657.725098
40.622083,-74.012749,2024,06,1,0,767.959900
40.622083,-74.012749,2024,07,1,0,0.000000
40.622083,-74.012749,2024,08,1,0,7781.562500
40.622083,-74.012749,2024,09,1,0,876.732544
40.622083,-74.012749,2024,10,1,0,0.000000
40.622083,-74.012749,2024,11,1,0,6264.365234
40.622083,-74.012749,2024,12,1,0,587.143982
40.622083,-74.012749,2025,01,1,0,0.000000
40.622083,-74.012749,2024,02,1,0,3704.003906
40.622083,-74.012749,2024,03,1,0,3696.696289
40.622083,-74.012749,2024,04,1,0,1144.229980
40.622083,-74.012749,2025,05,1,0,5234.210449
40.610369,-73.982571,2024,06,1,0,1614.211548
40.610369,-73.982571,2024,07,1,0,584.374634
40.610369,-73.982571,2024,08,1,0,8236.731445
40.610369,-73.982571,2024,09,1,0,1544.547974
40.610369,-73.982571,2024,10,1,0,319.576843
40.610369,-73.982571,2024,11,1,0,6732.502441
40.610369,-73.982571,2024,12,1,0,1331.044189
40.610369,-73.982571,2025,01,1,0,0.000000
40.610369,-73.982571,2024,02,1,0,4525.842773
40.610369,-73.982571,2024,03,1,0,4415.218262
40.610369,-73.982571,2024,04,1,0,2147.396973
40.610369,-73.982571,2025,05,1,0,6134.327637
40.629309,-74.007027,2024,06,1,0,775.674683
40.629309,-74.007027,2024,07,1,0,0.000000
40.629309,-74.007027,2024,08,1,0,7783.959473
40.629309,-74.007027,2024,09,1,0,896.448059
40.629309,-74.007027,2024,10,1,0,0.000000
40.629309,-74.007027,2024,11,1,0,6280.458008
40.629309,-74.007027,2024,12,1,0,631.338074
40.629309,-74.007027,2025,01,1,0,0.000000
40.629309,-74.007027,2024,02,1,0,3746.462158
40.629309,-74.007027,2024,03,1,0,3769.222412
40.629309,-74.007027,2024,04,1,0,1244.056396
40.629309,-74.007027,2025,05,1,0,5310.399902
40.832645,-73.862568,2024,06,1,0,1036.770142
40.832645,-73.862568,2024,07,1,0,0.000000
40.832645,-73.862568,2024,08,1,0,7896.211426
40.832645,-73.862568,2024,09,1,0,1106.984619
40.832645,-73.862568,2024,10,1,0,0.000000
40.832645,-73.862568,2024,11,1,0,6404.456543
40.832645,-73.862568,2024,12,1,0,1076.930420
40.832645,-73.862568,2025,01,1,0,0.000000
40.832645,-73.862568,2024,02,1,0,4274.492676
40.832645,-73.862568,2024,03,1,0,4302.361328
40.832645,-73.862568,2024,04,1,0,1874.764160
40.832645,-73.862568,2025,05,1,0,5973.126465
40.613262,-73.820188,2024,06,1,0,2223.966553
40.613262,-73.820188,2024,07,1,0,1216.092773
40.613262,-73.820188,2024,08,1,0,8571.038086
40.613262,-73.820188,2024,09,1,0,1558.429932
40.613262,-73.820188,2024,10,1,0,352.053284
40.613262,-73.820188,2024,11,1,0,6736.708984
40.613262,-73.820188,2024,12,1,0,1450.177002
40.613262,-73.820188,2025,01,1,0,20.091732
40.613262,-73.820188,2024,02,1,0,4686.564941
40.613262,-73.820188,2024,03,1,0,4556.001953
40.613262,-73.820188,2024,04,1,0,2323.377930
40.613262,-73.820188,2025,05,1,0,6311.528320
40.663190,-73.962108,2024,06,1,0,2161.141113
40.663190,-73.962108,2024,07,1,0,1339.575439
40.663190,-73.962108,2024,08,1,0,8529.418945
40.663190,-73.962108,2024,09,1,0,1918.806885
40.663190,-73.962108,2024,10,1,0,766.470459
40.663190,-73.962108,2024,11,1,0,6989.587402
40.663190,-73.962108,2024,12,1,0,1744.879639
40.663190,-73.962108,2025,01,1,0,456.795990
40.663190,-73.962108,2024,02,1,0,4973.015625
40.663190,-73.962108,2024,03,1,0,4770.863281
40.663190,-73.962108,2024,04,1,0,2655.973633
40.663190,-73.962108,2025,05,1,0,6591.522949
40.662658,-73.962099,2024,06,1,0,762.758545
40.662658,-73.962099,2024,07,1,0,0.000000
40.662658,-73.962099,2024,08,1,0,7765.287598
40.662658,-73.962099,2024,09,1,0,869.712097
40.662658,-73.962099,2024,10,1,0,0.000000
40.662658,-73.962099,2024,11,1,0,6256.249023
40.662658,-73.962099,2024,12,1,0,732.589905
40.662658,-73.962099,2025,01,1,0,0.000000
40.662658,-73.962099,2024,02,1,0,3884.970947
40.662658,-73.962099,2024,03,1,0,3915.226807
40.662658,-73.962099,2024,04,1,0,1388.904907
40.662658,-73.962099,2025,05,1,0,5490.647461
40.663254,-73.961447,2024,06,1,0,1056.526367
40.663254,-73.961447,2024,07,1,0,0.000000
40.663254,-73.961447,2024,08,1,0,7951.750977
40.663254,-73.961447,2024,09,1,0,1063.050415
40.663254,-73.961447,2024,10,1,0,0.000000
40.663254,-73.961447,2024,11,1,0,6401.367188
40.663254,-73.961447,2024,12,1,0,733.505310
40.663254,-73.961447,2025,01,1,0,0.000000
40.663254,-73.961447,2024,02,1,0,3853.919922
40.663254,-73.961447,2024,03,1,0,3842.466064
40.663254,-73.961447,2024,04,1,0,1386.118042
40.663254,-73.961447,2025,05,1,0,5408.399414
40.704327,-73.876233,2024,06,1,0,1309.614380
40.704327,-73.876233,2024,07,1,0,170.498505
40.704327,-73.876233,2024,08,1,0,8048.262695
40.704327,-73.876233,2024,09,1,0,1327.890869
40.704327,-73.876233,2024,10,1,0,69.993309
40.704327,-73.876233,2024,11,1,0,6566.792480
40.704327,-73.876233,2024,12,1,0,1248.922241
40.704327,-73.876233,2025,01,1,0,0.000000
40.704327,-73.876233,2024,02,1,0,4458.589844
40.704327,-73.876233,2024,03,1,0,4429.615723
40.704327,-73.876233,2024,04,1,0,2086.078369
40.704327,-73.876233,2025,05,1,0,6138.175293
40.658626,-73.960505,2024,06,1,0,1378.106567
40.658626,-73.960505,2024,07,1,0,248.831055
40.658626,-73.960505,2024,08,1,0,8085.221191
